Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2
3719,11/03/2017,1,10,15,31,36,39,11,32
3717,04/03/2017,9,12,15,18,28,34,1,44
3715,25/02/2017,7,22,29,33,36,44,5,45
3713,18/02/2017,21,25,28,30,33,37,3,36
3711,11/02/2017,3,18,41,42,43,45,2,21
3709,04/02/2017,4,16,22,34,36,38,3,26
3707,28/01/2017,6,10,19,28,37,40,8,33
3705,21/01/2017,14,17,30,37,41,43,5,38
3703,14/01/2017,9,12,21,22,30,41,20,27
3701,07/01/2017,7,19,20,22,40,41,5,35
3699,31/12/2016,4,11,16,18,31,40,17,38
3697,24/12/2016,4,5,9,24,34,39,15,29
3695,17/12/2016,8,17,18,29,36,42,11,33
3693,10/12/2016,5,20,25,33,34,36,27,42
3691,03/12/2016,10,11,18,26,39,44,15,16
3689,26/11/2016,18,19,27,29,38,45,32,35
3687,19/11/2016,1,12,14,16,24,40,20,31
3685,12/11/2016,1,3,12,18,22,38,34,40
3683,05/11/2016,9,23,24,34,38,43,13,37
3681,29/10/2016,15,20,23,33,39,42,22,36
3679,22/10/2016,16,22,35,37,39,42,29,43
3677,15/10/2016,2,8,21,22,31,40,28,30
3675,08/10/2016,2,3,6,21,26,38,22,35
3673,01/10/2016,6,14,22,26,35,37,10,31
3671,24/09/2016,11,12,18,25,34,45,13,37
3669,17/09/2016,3,8,9,12,18,27,4,39
3667,10/09/2016,5,7,9,13,18,27,25,42
3665,03/09/2016,7,23,28,32,36,40,39,41
3663,27/08/2016,4,5,13,18,25,34,23,31
3661,20/08/2016,8,16,23,34,42,45,3,44
3659,13/08/2016,11,14,16,37,41,45,1,32
3657,06/08/2016,6,12,15,19,23,31,8,22
3655,30/07/2016,27,32,33,37,40,45,22,38
3653,23/07/2016,4,7,10,15,22,32,6,38
3651,16/07/2016,1,3,7,12,24,32,2,10
3649,09/07/2016,13,17,21,25,33,38,11,18
3647,02/07/2016,5,12,16,20,31,41,10,29
3645,25/06/2016,4,7,10,17,28,31,12,23
3643,18/06/2016,1,2,13,20,39,44,4,7
3641,11/06/2016,4,10,25,32,39,45,22,26
3639,04/06/2016,3,12,26,27,38,43,16,44
3637,28/05/2016,1,21,34,35,37,42,11,26
3635,21/05/2016,5,11,13,14,37,39,12,32
3633,14/05/2016,4,10,13,21,33,34,14,30
3631,07/05/2016,1,3,14,24,31,35,8,17
3629,30/04/2016,2,20,22,24,27,30,10,26
3627,23/04/2016,3,10,27,32,34,36,20,26
3625,16/04/2016,1,3,11,29,36,42,26,33
3623,09/04/2016,3,6,18,21,23,41,16,30
3621,02/04/2016,7,11,12,23,29,36,9,33
3619,26/03/2016,5,9,17,24,32,43,21,31
3617,19/03/2016,8,10,16,24,28,31,2,4
3615,12/03/2016,1,3,8,16,28,37,5,30
